"","",""
"Abronia","sand verbena","SD(Custer, Fall River)"
"Allium textile","textile onion","SD(Aurora, Beadle, Brookings, Brown, Butte, Campbell, Charles Mix, Corson, Custer, Davison, Day, Deuel, Dewey, Douglas, Fall River, Hand, Harding, Hutchinson, Jackson, Jerauld, Lawrence, Marshall, McCook, Meade, Mellette, Minnehaha, Pennington, Spink, Todd, Walworth)"
"Allium tricoccum","ramp","SD(Brookings, Day, Lincoln, Marshall, Roberts)"
"Almutaster","alkali marsh aster","SD(Harding, Lawrence)"
"Almutaster pauciflorus","alkali marsh aster","SD(Harding, Lawrence)"
"Alopecurus","foxtail","SD(Aurora, Brookings, Charles Mix, Codington, Custer, Dewey, Fall River, Faulk, Hanson, Harding, Lincoln, Marshall, McPherson, Meade, Minnehaha, Pennington, Walworth, Yankton)"
"Alopecurus aequalis","shortawn foxtail","SD(Aurora, Brookings, Charles Mix, Codington, Custer, Fall River, Faulk, Harding, Lincoln, Marshall, McPherson, Meade, Pennington, Walworth, Yankton)"
"Alopecurus aequalis var. aequalis","shortawn foxtail","SD(Aurora, Brookings, Charles Mix, Codington, Custer, Fall River, Faulk, Harding, Lincoln, Marshall, McPherson, Meade, Pennington, Walworth, Yankton)"
"Alopecurus carolinianus","Carolina foxtail","SD(Hanson, Harding, Minnehaha)"
"Alopecurus geniculatus","water foxtail","SD(Dewey)"
"Alopecurus geniculatus var. geniculatus","water foxtail","SD(Dewey)"
"Alyssum","madwort","SD(Butte, Clay, Fall River, Pennington)"
"Alyssum alyssoides","pale madwort","SD(Butte, Clay, Pennington)"
"Alyssum desertorum","desert madwort","SD(Fall River)"
"Alyssum desertorum var. desertorum","desert madwort","SD(Fall River)"
"Amaranthus","pigweed","SD(Aurora, Beadle, Bennett, Brookings, Brown, Brule, Buffalo, Campbell, Charles Mix, Clay, Codington, Douglas, Fall River, Faulk, Gregory, Hamlin, Hand, Hanson, Harding, Hughes, Hutchinson, Hyde, Jerauld, Kingsbury, Lawrence, Lincoln, Lyman, Marshall, Mellette, Pennington, Potter, Roberts, Spink, Stanley, Union, Yankton)"
"Amaranthus albus","prostrate pigweed","SD(Beadle, Brookings, Brown, Buffalo, Campbell, Charles Mix, Clay, Codington, Douglas, Fall River, Faulk, Hand, Hughes, Hyde, Jerauld, Potter, Spink, Union)"
"Amaranthus arenicola","sandhill amaranth","SD(Bennett, Fall River, Pennington)"
"Amaranthus blitoides","mat amaranth","SD(Aurora, Charles Mix, Codington, Fall River, Gregory, Hanson, Harding, Hughes, Hyde, Lawrence, Lincoln, Lyman, Mellette, Pennington, Roberts, Spink, Stanley, Union)"
"Amaranthus hybridus","slim amaranth","SD(Clay, Lawrence, Lincoln, Union)"
"Amaranthus retroflexus","redroot amaranth","SD(Aurora, Beadle, Brown, Brule, Buffalo, Charles Mix, Clay, Codington, Douglas, Fall River, Hamlin, Hand, Harding, Hughes, Hutchinson, Hyde, Lawrence, Lincoln, Marshall, Pennington, Potter, Spink, Stanley, Union, Yankton)"
