"","",""
"Amaranthus blitum var. emarginatus","purple amaranth","MA(Franklin, Hampshire)"
"Amaranthus cannabinus","tidalmarsh amaranth","MA(Barnstable, Bristol, Essex, Middlesex, Norfolk, Plymouth, Suffolk)"
"Amaranthus caudatus","foxtail amaranth","MA(Hampshire, Middlesex, Suffolk, Worcester)"
"Amaranthus cruentus","red amaranth","MA(Essex, Middlesex, Norfolk, Suffolk)"
"Amaranthus deflexus","largefruit amaranth","MA(Berkshire)"
"Amaranthus hybridus","slim amaranth","MA(Berkshire, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Amaranthus hypochondriacus","Prince-of-Wales feather","MA(Essex, Franklin, Hampshire, Middlesex, Norfolk, Worcester)"
"Amaranthus macrocarpus","dwarf amaranth","MA(Worcester)"
"Amaranthus palmeri","carelessweed","MA(Essex, Middlesex)"
"Amaranthus powellii","Powell's amaranth","MA(Berkshire, Essex, Franklin, Hampshire, Middlesex, Norfolk, Plymouth, Worcester)"
"Amaranthus powellii ssp. powellii","Powell's amaranth","MA(Berkshire, Essex, Franklin, Hampshire, Middlesex, Norfolk, Plymouth, Worcester)"
"Amaranthus pumilus","seaside amaranth","MA(Dukes, Nantucket)"
"Amaranthus retroflexus","redroot amaranth","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Amaranthus spinosus","spiny amaranth","MA(Berkshire, Essex, Franklin, Middlesex, Norfolk, Suffolk, Worcester)"
"Amaranthus tuberculatus","roughfruit amaranth","MA(Berkshire, Essex, Franklin, Middlesex, Norfolk, Suffolk, Worcester)"
"Amaranthus viridis","slender amaranth","MA(Suffolk)"
"Ambrosia","ragweed","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Ambrosia artemisiifolia","annual ragweed","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Ambrosia psilostachya","Cuman ragweed","MA(Barnstable, Dukes, Hampshire, Nantucket, Suffolk)"
"Ambrosia trifida","great ragweed","MA(Berkshire, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Amelanchier","serviceberry","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Amelanchier ×neglecta","serviceberry","MA(Berkshire, Hampshire)"
"Amelanchier arborea","common serviceberry","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
