"Antennaria solitaria","singlehead pussytoes","DC(District of Columbia)"
"Anthemis","chamomile","DC(District of Columbia)"
"Anthemis arvensis","corn chamomile","DC(District of Columbia)"
"Anthemis cotula","stinking chamomile","DC(District of Columbia)"
"Anthoxanthum","hornwort","DC(District of Columbia)"
"Anthoxanthum odoratum","sweet vernalgrass","DC(District of Columbia)"
"Anthoxanthum odoratum ssp. odoratum","sweet vernalgrass","DC(District of Columbia)"
"Apera","silkybent","DC(District of Columbia)"
"Apera spica-venti","loose silkybent","DC(District of Columbia)"
"Aphanes","parsley piert","DC(District of Columbia)"
"Aphanes microcarpa","slender parsley piert","DC(District of Columbia)"
"Apios","groundnut","DC(District of Columbia)"
"Apios americana","groundnut","DC(District of Columbia)"
"Aplectrum","Adam and Eve","DC(District of Columbia)"
"Aplectrum hyemale","Adam and Eve","DC(District of Columbia)"
"Apocynum","dogbane","DC(District of Columbia)"
"Apocynum ×floribundum","","DC(District of Columbia)"
"Apocynum androsaemifolium","spreading dogbane","DC(District of Columbia)"
"Apocynum cannabinum","Indianhemp","DC(District of Columbia)"
"Aquilegia","columbine","DC(District of Columbia)"
"Aquilegia canadensis","red columbine","DC(District of Columbia)"
"Arabidopsis","rockcress","DC(District of Columbia)"
"Arabidopsis thaliana","mouseear cress","DC(District of Columbia)"
"Arabis","rockcress","DC(District of Columbia)"
"Arabis canadensis","sicklepod","DC(District of Columbia)"
"Arabis laevigata","smooth rockcress","DC(District of Columbia)"
"Arabis laevigata var. laevigata","smooth rockcress","DC(District of Columbia)"
"Arabis lyallii","Lyall's rockcress","DC(District of Columbia)"
"Arabis lyallii var. lyallii","Lyall's rockcress","DC(District of Columbia)"
"Arabis lyrata","lyrate rockcress","DC(District of Columbia)"
"Arabis shortii","Short's rockcress","DC(District of Columbia)"
"Arachis","peanut","DC(District of Columbia)"
"Arachis hypogaea","peanut","DC(District of Columbia)"
"Aralia","spikenard","DC(District of Columbia)"
"Aralia nudicaulis","wild sarsaparilla","DC(District of Columbia)"
"Aralia racemosa","American spikenard","DC(District of Columbia)"
"Aralia racemosa ssp. racemosa","American spikenard","DC(District of Columbia)"
"Aralia spinosa","devil's walkingstick","DC(District of Columbia)"
"Arctium","burdock","DC(District of Columbia)"
"Arctium minus","lesser burdock","DC(District of Columbia)"
"Arctium tomentosum","woolly burdock","DC(District of Columbia)"
"Arenaria","sandwort","DC(District of Columbia)"
"Arenaria serpyllifolia","thymeleaf sandwort","DC(District of Columbia)"
"Arethusa","dragon's mouth","DC(District of Columbia)"
"Arethusa bulbosa","dragon's mouth","DC(District of Columbia)"
"Argemone","pricklypoppy","DC(District of Columbia)"
"Argemone mexicana","Mexican pricklypoppy","DC(District of Columbia)"
"Arisaema","Jack in the pulpit","DC(District of Columbia)"
"Arisaema dracontium","green dragon","DC(District of Columbia)"
"Arisaema triphyllum","Jack in the pulpit","DC(District of Columbia)"
"Arisaema triphyllum ssp. stewardsonii","Jack in the pulpit","DC(District of Columbia)"
