"","",""
"Abies","fir","GA(Fannin)"
"Sporobolus clandestinus","rough dropseed","GA(Clarke, Columbia, DeKalb, McIntosh, Stephens)"
"Sporobolus curtissii","Curtis' dropseed","GA(Brantley, Charlton, Wayne)"
"Sporobolus floridanus","Florida dropseed","GA(Berrien, Brooks, Cook, Dooly, Echols, Lowndes, McIntosh, Ware)"
"Sporobolus heterolepis","prairie dropseed","GA(Catoosa)"
"Sporobolus indicus","smut grass","GA(Baker, Bartow, Berrien, Camden, Charlton, Chatham, Clarke, Columbia, Elbert, Floyd, Grady, Hall, Harris, Irwin, Johnson, Liberty, Lincoln, Lowndes, McIntosh, Morgan, Rockdale, Screven, Taylor, Tift, Walker)"
"Sporobolus indicus var. indicus","smut grass","GA(Baker, Bartow, Berrien, Charlton, Chatham, Clarke, Columbia, Elbert, Floyd, Grady, Hall, Harris, Irwin, Johnson, Liberty, Lincoln, Lowndes, McIntosh, Morgan, Rockdale, Screven, Taylor, Tift, Walker)"
"Sporobolus indicus var. pyramidalis","West Indian dropseed","GA(Camden, Lowndes)"
"Sporobolus junceus","pineywoods dropseed","GA(Baker, Brooks, Charlton, Chatham, Cook, DeKalb, Decatur, Dougherty, Elbert, Evans, Gwinnett, Hall, Harris, Lowndes, Meriwether, Oglethorpe, Rockdale, Screven, Stephens, Toombs, Upson)"
"Sporobolus teretifolius","wireleaf dropseed","GA(Bulloch, Coffee, Colquitt, Cook, Irwin, Thomas, Toombs, Turner, Wheeler)"
"Sporobolus vaginiflorus","poverty dropseed","GA(Catoosa, Clarke)"
"Sporobolus virginicus","seashore dropseed","GA(Camden, Chatham, Glynn, McIntosh)"
"Stachys","hedgenettle","GA(Appling, Baldwin, Bulloch, Chatham, Clarke, Dawson, Dougherty, Evans, Fannin, Glynn, Harris, Jeff Davis, Lowndes, Miller, Mitchell, Murray, Rabun, Richmond, Sumter, Thomas, Tift, Towns, Union, Walker, Wayne, Wheeler)"
"Stachys cordata","heartleaf hedgenettle","GA(Murray, Walker)"
"Stachys floridana","Florida hedgenettle","GA(Appling, Bulloch, Chatham, Dougherty, Evans, Glynn, Harris, Lowndes, Mitchell, Sumter, Thomas, Tift, Wayne, Wheeler)"
"Stachys hyssopifolia","hyssopleaf hedgenettle","GA(Baldwin, Chatham, Jeff Davis, Miller, Richmond)"
"Stachys tenuifolia","smooth hedgenettle","GA(Clarke, Dawson, Fannin, Murray, Rabun, Towns, Union)"
"Staphylea","bladdernut","GA(Bartow, Burke, Clarke, Dade, Early, Effingham, Floyd, Forsyth, Gordon, Hall, Lincoln, Murray, Stephens, Taylor, Walker)"
"Staphylea trifolia","American bladdernut","GA(Bartow, Burke, Clarke, Dade, Early, Effingham, Floyd, Forsyth, Gordon, Hall, Lincoln, Murray, Stephens, Taylor, Walker)"
"Steinchisma","gaping grass","GA(Baker, Baldwin, Chatham, Clarke, Columbia, Cook, DeKalb, Decatur, Dooly, Elbert, Greene, Hart, Lincoln, Lowndes, McDuffie, Miller, Taliaferro, Toombs, Wilcox)"
"Steinchisma hians","gaping grass","GA(Baker, Baldwin, Chatham, Clarke, Columbia, Cook, DeKalb, Decatur, Dooly, Elbert, Greene, Hart, Lincoln, Lowndes, McDuffie, Miller, Taliaferro, Toombs, Wilcox)"
"Stellaria","starwort","GA(Bartow, Carroll, Catoosa, Cherokee, Clarke, Cobb, Elbert, Evans, Floyd, Forsyth, Fulton, Gilmer, Hall, Heard, Lumpkin, Meriwether, Murray, Newton, Rabun, Stephens, Towns, Upson, Walker, Whitfield)"
"Stellaria media","common chickweed","GA(Clarke, Cobb, Elbert, Floyd, Fulton, Stephens)"
"Stellaria media ssp. media","common chickweed","GA(Clarke, Cobb, Elbert, Floyd, Fulton, Stephens)"
"Stellaria pubera","star chickweed","GA(Bartow, Carroll, Catoosa, Cherokee, Clarke, Elbert, Evans, Floyd, Forsyth, Fulton, Gilmer, Hall, Heard, Lumpkin, Meriwether, Murray, Newton, Rabun, Stephens, Towns, Upson, Walker, Whitfield)"
"Stenanthium","featherbells","GA(Bartow, Carroll, Clarke, Columbia, Cook, Coweta, Dade, Floyd, Habersham, Hart, Murray, Newton, Rabun, Stephens, Talbot, Towns, Union, Walton, White, Worth)"
"Stenanthium gramineum","eastern featherbells","GA(Bartow, Carroll, Clarke, Columbia, Cook, Coweta, Dade, Floyd, Habersham, Hart, Murray, Newton, Rabun, Stephens, Talbot, Towns, Union, Walton, White, Worth)"
"Stenaria","diamond-flowers","GA(Crawford, Decatur, Quitman, Randolph, Taylor)"
"Stenaria nigricans","diamond-flowers","GA(Crawford, Decatur, Quitman, Randolph, Taylor)"
"Stenaria nigricans var. nigricans","diamondflowers","GA(Crawford, Decatur, Quitman, Randolph, Taylor)"
"Stenotaphrum","St. Augustine grass","GA(Camden, Chatham, Glynn, Grady, Liberty, McIntosh)"
"Stenotaphrum secundatum","St. Augustine grass","GA(Camden, Chatham, Glynn, Grady, Liberty, McIntosh)"
"Stewartia","stewartia","GA(Bryan, Bulloch, Calhoun, Candler, Cherokee, Clarke, Cook, Dade, Dawson, Effingham, Fannin, Fulton, Habersham, Hall, Hancock, Irwin, Lumpkin, Madison, Murray, Oconee, Pike, Rabun, Screven, Stephens, Union, Upson, Walker, Washington, White, Wilkinson)"
"Stewartia malacodendron","silky camellia","GA(Bryan, Bulloch, Calhoun, Candler, Cook, Effingham, Hancock, Irwin, Pike, Screven, Upson, Washington, Wilkinson)"
"Stewartia ovata","mountain camellia","GA(Cherokee, Clarke, Dade, Dawson, Fannin, Fulton, Habersham, Hall, Lumpkin, Madison, Murray, Oconee, Rabun, Stephens, Union, Walker, White)"
"Stillingia","toothleaf","GA(Appling, Atkinson, Bacon, Baker, Ben Hill, Berrien, Bleckley, Brantley, Brooks, Bulloch, Camden, Candler, Charlton, Chatham, Clinch, Coffee, Colquitt, Columbia, Decatur, Dodge, Early, Echols, Effingham, Elbert, Emanuel, Grady, Gwinnett, Hancock, Jeff Davis, Jenkins, Lanier, Lee, Liberty, Long, Lowndes, McDuffie, McIntosh, Muscogee, Oglethorpe, Richmond, Tattnall, Taylor, Telfair, Tift, Toombs, Turner, Ware, Wayne, Wheeler)"
"Stillingia aquatica","water toothleaf","GA(Appling, Berrien, Clinch, Early, Lanier, Lee, Ware)"
"Stillingia sylvatica","queen's-delight","GA(Atkinson, Bacon, Baker, Ben Hill, Bleckley, Brantley, Brooks, Bulloch, Camden, Candler, Charlton, Chatham, Coffee, Colquitt, Columbia, Decatur, Dodge, Echols, Effingham, Elbert, Emanuel, Grady, Gwinnett, Hancock, Jeff Davis, Jenkins, Lee, Liberty, Long, Lowndes, McDuffie, McIntosh, Muscogee, Oglethorpe, Richmond, Tattnall, Taylor, Telfair, Tift, Toombs, Turner, Wayne, Wheeler)"
"Stillingia sylvatica ssp. sylvatica","queen's-delight","GA(Atkinson, Bacon, Baker, Ben Hill, Bleckley, Brantley, Brooks, Bulloch, Camden, Candler, Charlton, Chatham, Coffee, Colquitt, Columbia, Decatur, Dodge, Echols, Effingham, Elbert, Emanuel, Grady, Gwinnett, Hancock, Jeff Davis, Jenkins, Lee, Liberty, Long, Lowndes, McDuffie, McIntosh, Muscogee, Oglethorpe, Richmond, Tattnall, Taylor, Telfair, Tift, Toombs, Turner, Wayne, Wheeler)"
"Stipulicida","stipulicida","GA(Baker, Ben Hill, Candler, Chatham, Coffee, Columbia, Echols, Emanuel, Evans, Hancock, Johnson, Laurens, Long, Marion, McDuffie, McIntosh, Richmond, Tattnall, Taylor, Telfair, Toombs, Warren, Wheeler, Wilkinson)"
"Stipulicida setacea","pineland scalypink","GA(Baker, Ben Hill, Candler, Chatham, Coffee, Columbia, Echols, Emanuel, Evans, Hancock, Johnson, Laurens, Long, Marion, McDuffie, McIntosh, Richmond, Tattnall, Taylor, Telfair, Toombs, Warren, Wheeler, Wilkinson)"
"Stipulicida setacea var. setacea","pineland scalypink","GA(Baker, Ben Hill, Candler, Chatham, Coffee, Columbia, Echols, Emanuel, Evans, Hancock, Johnson, Laurens, Long, Marion, McDuffie, McIntosh, Richmond, Tattnall, Taylor, Telfair, Toombs, Warren, Wheeler, Wilkinson)"
"Stokesia","stokesia","GA(Bulloch, Charlton, Colquitt, Dodge, Worth)"
"Stokesia laevis","Stokes' aster","GA(Bulloch, Charlton, Colquitt, Dodge, Worth)"
"Streptopus","twistedstalk","GA(Towns)"
"Streptopus lanceolatus","twistedstalk","GA(Towns)"
"Streptopus lanceolatus var. roseus","twistedstalk","GA(Towns)"
"Strophostyles","fuzzybean","GA(Bartow, Burke, Charlton, Chatham, Cherokee, Clarke, Cobb, Columbia, Dougherty, Elbert, Floyd, Fulton, Glynn, Grady, Hall, Harris, Jasper, Jones, Lamar, Liberty, Lincoln, McIntosh, Morgan, Oglethorpe, Paulding, Spalding, Stephens, Union, Worth)"
"Strophostyles helvola","amberique-bean","GA(Bartow, Chatham, Cherokee, Clarke, Glynn, Hall, McIntosh, Paulding)"
"Strophostyles umbellata","pink fuzzybean","GA(Bartow, Burke, Charlton, Chatham, Cherokee, Clarke, Cobb, Columbia, Dougherty, Elbert, Floyd, Fulton, Grady, Harris, Jasper, Jones, Lamar, Liberty, Lincoln, McIntosh, Morgan, Oglethorpe, Spalding, Stephens, Union, Worth)"
"Stylisma","dawnflower","GA(Baker, Bibb, Brooks, Bulloch, Charlton, Chatham, Clarke, Cobb, Coffee, Colquitt, Decatur, Dougherty, Early, Elbert, Emanuel, Irwin, Lanier, Lincoln, Long, Lowndes, Madison, McIntosh, Miller, Muscogee, Pike, Talbot, Tattnall, Taylor, Thomas, Tift, Toombs, Upson, Wayne, Wilkinson, Worth)"
"Stylisma aquatica","water dawnflower","GA(Brooks, Irwin, Lowndes, Miller)"
"Stylisma humistrata","southern dawnflower","GA(Clarke, Cobb, Early, Elbert, Lincoln, Madison, Muscogee, Pike, Upson, Worth)"
"Stylisma patens","coastal plain dawnflower","GA(Baker, Bibb, Brooks, Bulloch, Charlton, Chatham, Coffee, Colquitt, Decatur, Dougherty, Emanuel, Irwin, Long, Lowndes, McIntosh, Talbot, Tattnall, Taylor, Thomas, Tift, Toombs, Wayne, Wilkinson)"
"Stylisma pickeringii","Pickering's dawnflower","GA(Dougherty, Lanier, Tattnall, Taylor)"
"Stylisma pickeringii var. pickeringii","Pickering's dawnflower","GA(Dougherty, Lanier, Tattnall, Taylor)"
"Stylodon","stylodon","GA(Baker, Berrien, Bibb, Calhoun, Charlton, Dodge, Grady, Laurens, Muscogee, Sumter, Tift, Toombs, Wayne)"
"Stylodon carneus","Carolina false vervain","GA(Baker, Berrien, Bibb, Calhoun, Charlton, Dodge, Grady, Laurens, Muscogee, Sumter, Tift, Toombs, Wayne)"
"Stylophorum","stylophorum","GA(Walker)"
"Stylophorum diphyllum","celandine poppy","GA(Walker)"
"Stylosanthes","pencilflower","GA(Baker, Barrow, Bartow, Bibb, Bleckley, Chatham, Chattooga, Cherokee, Clarke, Cobb, Coffee, Colquitt, Columbia, Crawford, Crisp, Dade, DeKalb, Decatur, Echols, Effingham, Elbert, Emanuel, Evans, Forsyth, Franklin, Glynn, Gwinnett, Habersham, Hall, Harris, Irwin, Jones, Lanier, Lincoln, Lowndes, Madison, Marion, Mitchell, Morgan, Oglethorpe, Pierce, Pike, Rabun, Stephens, Talbot, Taliaferro, Taylor, Thomas, Tift, Toombs, Union, Upson, Walker, Wayne, White, Wilkinson, Worth)"
"Stylosanthes biflora","sidebeak pencilflower","GA(Baker, Barrow, Bartow, Bibb, Bleckley, Chatham, Chattooga, Cherokee, Clarke, Cobb, Coffee, Colquitt, Columbia, Crawford, Crisp, Dade, DeKalb, Decatur, Echols, Effingham, Elbert, Emanuel, Evans, Forsyth, Franklin, Glynn, Gwinnett, Habersham, Hall, Harris, Irwin, Jones, Lanier, Lincoln, Lowndes, Madison, Marion, Mitchell, Morgan, Oglethorpe, Pierce, Pike, Rabun, Stephens, Talbot, Taliaferro, Taylor, Thomas, Tift, Toombs, Union, Upson, Walker, Wayne, White, Wilkinson, Worth)"
"Styrax","snowbell","GA(Atkinson, Baldwin, Bartow, Ben Hill, Berrien, Bibb, Brantley, Brooks, Bulloch, Candler, Charlton, Chatham, Clarke, Clinch, Cobb, Coffee, Colquitt, Cook, Crisp, DeKalb, Decatur, Dodge, Dooly, Dougherty, Early, Echols, Elbert, Emanuel, Fulton, Grady, Habersham, Hancock, Haralson, Harris, Houston, Irwin, Jackson, Jenkins, Lanier, Lee, Liberty, Lincoln, Lowndes, Macon, Madison, McDuffie, Miller, Morgan, Oglethorpe, Pierce, Putnam, Randolph, Richmond, Rockdale, Spalding, Stephens, Sumter, Tattnall, Taylor, Telfair, Thomas, Tift, Toombs, Upson, Ware, Washington, Wayne, Wilcox, Wilkes, Worth)"
"Styrax americanus","American snowbell","GA(Atkinson, Baldwin, Bartow, Ben Hill, Berrien, Brooks, Bulloch, Charlton, Chatham, Clarke, Clinch, Cobb, Coffee, Colquitt, Cook, Crisp, DeKalb, Dodge, Dougherty, Early, Echols, Elbert, Emanuel, Grady, Haralson, Harris, Houston, Irwin, Lanier, Lee, Liberty, Lowndes, Macon, Madison, McDuffie, Miller, Morgan, Oglethorpe, Randolph, Richmond, Rockdale, Spalding, Sumter, Tattnall, Taylor, Telfair, Thomas, Tift, Toombs, Upson, Ware, Washington, Wayne, Wilcox, Wilkes, Worth)"
"Styrax grandifolius","bigleaf snowbell","GA(Bartow, Ben Hill, Bibb, Brantley, Brooks, Bulloch, Candler, Chatham, Coffee, Colquitt, Decatur, Dooly, Early, Echols, Fulton, Habersham, Hancock, Haralson, Houston, Jackson, Jenkins, Lee, Liberty, Lincoln, Pierce, Putnam, Stephens, Sumter, Toombs, Washington, Wayne, Wilcox)"
"Suaeda","seepweed","GA(Camden, Chatham, Glynn, McIntosh)"
"Suaeda linearis","annual seepweed","GA(Camden, Chatham, Glynn, McIntosh)"
"Symphoricarpos","snowberry","GA(Catoosa, Clarke, Elbert, Floyd, Rabun, Union, Walker)"
"Symphoricarpos orbiculatus","coralberry","GA(Catoosa, Clarke, Elbert, Floyd, Rabun, Union, Walker)"
"Symphyotrichum","aster","GA(Baker, Bartow, Ben Hill, Berrien, Bibb, Brantley, Bulloch, Camden, Catoosa, Charlton, Chatham, Chattooga, Cherokee, Clarke, Clay, Clayton, Clinch, Cobb, Coffee, Columbia, Cook, Crawford, Dade, Dawson, DeKalb, Decatur, Dooly, Dougherty, Early, Echols, Elbert, Fannin, Floyd, Forsyth, Fulton, Gilmer, Glynn, Gordon, Grady, Greene, Habersham, Hall, Harris, Houston, Irwin, Jackson, Johnson, Jones, Lanier, Laurens, Lee, Liberty, Lincoln, Lowndes, Lumpkin, Macon, McDuffie, McIntosh, Meriwether, Morgan, Murray, Oglethorpe, Peach, Pickens, Pulaski, Rabun, Randolph, Richmond, Rockdale, Screven, Seminole, Spalding, Stephens, Stewart, Talbot, Taylor, Telfair, Thomas, Tift, Toombs, Turner, Union, Upson, Walker, Walton, Wayne, White, Whitfield, Wilcox, Wilkes, Worth)"
"Symphyotrichum adnatum","scaleleaf aster","GA(Dougherty, Grady, Lee)"
"Symphyotrichum concolor","eastern silver aster","GA(Baker, Bartow, Ben Hill, Clarke, Coffee, Dade, Dougherty, Elbert, Forsyth, Grady, Habersham, Hall, Harris, Laurens, Lowndes, Macon, McDuffie, Rabun, Richmond, Rockdale, Talbot, Toombs, Walker, Worth)"
"Symphyotrichum cordifolium","common blue wood aster","GA(Bartow, Bibb, Cherokee, Clarke, Cobb, Dade, Dawson, Dougherty, Early, Elbert, Fulton, Gordon, Hall, Harris, Morgan, Oglethorpe, Rabun, Seminole, Stephens, Union, Upson)"
"Symphyotrichum dumosum","rice button aster","GA(Baker, Bartow, Bibb, Brantley, Bulloch, Clarke, Clay, Cobb, Coffee, Cook, Dawson, Dooly, Dougherty, Elbert, Floyd, Fulton, Gilmer, Glynn, Grady, Greene, Harris, Irwin, Jackson, Jones, Lanier, Lowndes, McIntosh, Morgan, Pulaski, Rabun, Rockdale, Taylor, Toombs, Union, Wilcox)"
"Symphyotrichum elliottii","Marsh American-Aster","GA(Camden, Charlton, Chatham, Echols, Pickens)"
"Symphyotrichum georgianum","Georgia aster","GA(Chattooga, Clarke, Dawson, Fulton, Randolph, Rockdale, Spalding)"
"Symphyotrichum laeve","smooth blue aster","GA(Dade, Murray, Walker)"
"Symphyotrichum laeve var. concinnum","smooth blue aster","GA(Murray, Walker)"
"Symphyotrichum lanceolatum","white panicle aster","GA(Clarke, Elbert)"
"Symphyotrichum lanceolatum ssp. lanceolatum","white panicle aster","GA(Clarke, Elbert)"
"Symphyotrichum lanceolatum ssp. lanceolatum var. latifolium","white panicle aster","GA(Clarke, Elbert)"
"Symphyotrichum lateriflorum","calico aster","GA(Baker, Bulloch, Cherokee, Clarke, Clayton, Dade, Dawson, Dooly, Early, Elbert, Greene, Hall, Harris, Jones, Lumpkin, Meriwether, Morgan, Murray, Union, Wilcox, Wilkes, Worth)"
"Symphyotrichum lateriflorum var. lateriflorum","calico aster","GA(Baker, Clarke, Elbert, Greene, Meriwether, Wilcox, Wilkes)"
"Symphyotrichum lowrieanum","Lowrie's blue wood aster","GA(Rabun)"
"Symphyotrichum patens","late purple aster","GA(Chatham, Cherokee, Clarke, Clay, Cobb, Dawson, Elbert, Floyd, Forsyth, Hall, Harris, Lumpkin, Macon, Meriwether, Morgan, Pickens, Pulaski, Rabun, Spalding, Taylor, Union, Walker, Whitfield, Wilcox)"
"Symphyotrichum pilosum","hairy white oldfield aster","GA(Bartow, Berrien, Camden, Chatham, Clarke, Cobb, Coffee, Crawford, Dawson, DeKalb, Dougherty, Elbert, Fulton, Hall, Harris, Houston, Johnson, Lee, Lowndes, Lumpkin, Morgan, Oglethorpe, Peach, Rockdale, Screven, Spalding, Stephens, Stewart, Taylor, Telfair, Thomas, Walton, White, Whitfield, Wilcox)"
"Symphyotrichum praealtum","willowleaf aster","GA(Clarke, Decatur)"
"Symphyotrichum praealtum var. praealtum","willowleaf aster","GA(Clarke, Decatur)"
"Symphyotrichum pratense","barrens silky aster","GA(Catoosa, Decatur, Floyd, Walker)"
"Symphyotrichum puniceum","purplestem aster","GA(Bartow, Bibb, Clarke, Cobb, Columbia, Dawson, Elbert, Hall, Lumpkin, Morgan, Oglethorpe, Rabun, Rockdale, Union)"
"Symphyotrichum puniceum var. puniceum","purplestem aster","GA(Bartow, Bibb, Clarke, Cobb, Columbia, Dawson, Elbert, Hall, Lumpkin, Morgan, Oglethorpe, Rabun, Rockdale, Union)"
"Symphyotrichum retroflexum","rigid whitetop aster","GA(Cherokee, Cobb, Dawson, Fannin, Hall, Lumpkin, Murray, Rabun, Union, White)"
"Symphyotrichum shortii","Short's aster","GA(Dade, Walton)"
"Symphyotrichum subulatum","eastern annual saltmarsh aster","GA(Chatham, Glynn, McIntosh)"
"Symphyotrichum tenuifolium","perennial saltmarsh aster","GA(Camden, Chatham, Glynn, Liberty, McIntosh)"
"Symphyotrichum undulatum","wavyleaf aster","GA(Bartow, Bulloch, Catoosa, Cherokee, Clarke, Cobb, Dawson, Forsyth, Habersham, Hall, Harris, Lincoln, Murray, Rabun, Screven, Union, Walker)"
"Symphyotrichum walteri","Walter's aster","GA(Chatham, Clinch, Coffee, Dooly, Laurens, Lowndes, Tift, Turner, Wayne, Worth)"
"Symplocos","sweetleaf","GA(Appling, Atkinson, Bartow, Berrien, Brantley, Brooks, Bryan, Bulloch, Burke, Charlton, Chatham, Cherokee, Clarke, Clay, Cobb, Colquitt, Columbia, Crisp, Dougherty, Early, Effingham, Elbert, Emanuel, Fannin, Floyd, Glynn, Grady, Habersham, Hancock, Haralson, Harris, Hart, Houston, Irwin, Jefferson, Johnson, Lanier, Lee, Liberty, Lincoln, Lowndes, Madison, McIntosh, Meriwether, Mitchell, Montgomery, Murray, Pierce, Pike, Rabun, Screven, Seminole, Stephens, Sumter, Talbot, Tattnall, Telfair, Thomas, Tift, Towns, Treutlen, Union, Upson, Walker, Ware, Wayne, White, Whitfield, Wilkes, Worth)"
"Symplocos tinctoria","common sweetleaf","GA(Appling, Atkinson, Bartow, Berrien, Brantley, Brooks, Bryan, Bulloch, Burke, Charlton, Chatham, Cherokee, Clarke, Clay, Cobb, Colquitt, Columbia, Crisp, Dougherty, Early, Effingham, Elbert, Emanuel, Fannin, Floyd, Glynn, Grady, Habersham, Hancock, Haralson, Harris, Hart, Houston, Irwin, Jefferson, Johnson, Lanier, Lee, Liberty, Lincoln, Lowndes, Madison, McIntosh, Meriwether, Mitchell, Montgomery, Murray, Pierce, Pike, Rabun, Screven, Seminole, Stephens, Sumter, Talbot, Tattnall, Telfair, Thomas, Tift, Towns, Treutlen, Union, Upson, Walker, Ware, Wayne, White, Whitfield, Wilkes, Worth)"
"Syngonanthus","syngonanthus","GA(Appling, Ben Hill, Berrien, Brantley, Charlton, Chatham, Clinch, Early, Effingham, Emanuel, Glynn, Grady, Lanier, Long, Lowndes, McIntosh, Miller, Screven, Ware, Wayne)"
"Syngonanthus flavidulus","yellow hatpins","GA(Appling, Ben Hill, Berrien, Brantley, Charlton, Chatham, Clinch, Early, Effingham, Emanuel, Glynn, Grady, Lanier, Long, Lowndes, McIntosh, Miller, Screven, Ware, Wayne)"
"Taenidia","taenidia","GA(Catoosa, Cobb, Dade, Elbert, Floyd, Forsyth, Pike, Walker)"
"Taenidia integerrima","yellow pimpernel","GA(Catoosa, Cobb, Dade, Elbert, Floyd, Forsyth, Pike, Walker)"
"Tagetes","marigold","GA(Bulloch, Clarke, Fulton, Hart, Oconee)"
"Tagetes minuta","muster John Henry","GA(Bulloch, Clarke, Fulton, Hart, Oconee)"
"Talinum","fameflower","GA(Douglas, Harris)"
"Talinum paniculatum","jewels of Opar","GA(Douglas, Harris)"
"Tamarix","tamarisk","GA(Chatham, Glynn)"
"Tamarix gallica","French tamarisk","GA(Chatham, Glynn)"
"Taraxacum","dandelion","GA(Clarke, Dade, Dougherty, Forsyth, Fulton, Hart, Morgan, White, Whitfield)"
"Taraxacum laevigatum","rock dandelion","GA(Dougherty, Fulton)"
"Taraxacum officinale","common dandelion","GA(Clarke, Dade, Dougherty, Forsyth, Fulton, Hart, Morgan, White, Whitfield)"
"Taraxacum officinale ssp. officinale","common dandelion","GA(Clarke, Dade, Dougherty, Forsyth, Fulton, Hart, Morgan, White, Whitfield)"
"Taxodium","bald cypress","GA(Baker, Ben Hill, Brantley, Brooks, Bryan, Bulloch, Burke, Candler, Charlton, Chatham, Coffee, Colquitt, Crisp, Dodge, Dougherty, Early, Echols, Glynn, Grady, Irwin, Jenkins, Laurens, Lee, Liberty, Lowndes, McDuffie, McIntosh, Miller, Mitchell, Pulaski, Richmond, Screven, Sumter, Tattnall, Terrell, Thomas, Tift, Turner, Ware, Washington)"
"Taxodium ascendens","pond cypress","GA(Brooks, Charlton, Chatham, Coffee, Crisp, Dodge, Dougherty, Early, Glynn, Irwin, Jenkins, Lee, Liberty, McIntosh, Mitchell, Pulaski, Sumter, Tattnall, Terrell, Tift, Turner, Ware, Washington)"
"Taxodium distichum","bald cypress","GA(Baker, Ben Hill, Brantley, Bryan, Bulloch, Burke, Candler, Charlton, Chatham, Colquitt, Crisp, Dodge, Dougherty, Echols, Glynn, Grady, Laurens, Lowndes, McDuffie, McIntosh, Miller, Richmond, Screven, Tattnall, Terrell, Thomas, Tift, Turner, Ware)"
"Tephrosia","hoarypea","GA(Appling, Atkinson, Bacon, Baker, Bartow, Ben Hill, Berrien, Bibb, Bleckley, Brantley, Brooks, Bulloch, Burke, Camden, Candler, Catoosa, Charlton, Chatham, Chattooga, Cherokee, Clarke, Clay, Cobb, Colquitt, Columbia, Cook, Dade, Dawson, DeKalb, Decatur, Dodge, Dooly, Dougherty, Douglas, Early, Echols, Effingham, Elbert, Emanuel, Fannin, Floyd, Forsyth, Fulton, Gilmer, Glascock, Glynn, Grady, Gwinnett, Habersham, Hall, Hancock, Harris, Houston, Irwin, Jasper, Jefferson, Jones, Lamar, Lanier, Lee, Liberty, Lincoln, Long, Lowndes, Lumpkin, McDuffie, McIntosh, Meriwether, Mitchell, Murray, Muscogee, Oconee, Oglethorpe, Paulding, Pickens, Pierce, Rabun, Richmond, Screven, Spalding, Stephens, Sumter, Talbot, Taliaferro, Taylor, Telfair, Tift, Toombs, Turner, Upson, Walker, Walton, Ware, Washington, Wayne, Wheeler, White, Wilcox, Wilkinson, Worth)"
"Tephrosia ×floridana","hoarypea","GA(Dodge, Telfair)"
"Tephrosia chrysophylla","scurf hoarypea","GA(Charlton, Chatham)"
"Tephrosia florida","Florida hoarypea","GA(Appling, Baker, Ben Hill, Chatham, Decatur, Dougherty, Echols, Effingham, Emanuel, Lanier, Liberty, McIntosh, Mitchell, Talbot, Toombs, Ware, Worth)"
"Tephrosia hispidula","sprawling hoarypea","GA(Bacon, Berrien, Bulloch, Camden, Charlton, Chatham, Emanuel, Glynn, Irwin, Lanier, Lowndes, McIntosh, Pierce, Screven, Tift, Toombs, Ware, Wayne)"
"Tephrosia mohrii","pineland hoarypea","GA(Clay, Early, Grady, Irwin)"
"Tephrosia spicata","spiked hoarypea","GA(Appling, Atkinson, Bartow, Ben Hill, Berrien, Bibb, Bleckley, Brantley, Brooks, Burke, Camden, Catoosa, Charlton, Chatham, Chattooga, Cherokee, Clarke, Cobb, Columbia, Cook, Dawson, DeKalb, Decatur, Dougherty, Douglas, Elbert, Fannin, Floyd, Forsyth, Fulton, Grady, Gwinnett, Harris, Houston, Irwin, Jasper, Jefferson, Jones, Lamar, McDuffie, Murray, Muscogee, Oglethorpe, Paulding, Rabun, Richmond, Spalding, Stephens, Taliaferro, Ware, Washington, Wheeler, Wilcox, Wilkinson)"
"Tephrosia virginiana","Virginia tephrosia","GA(Baker, Bartow, Ben Hill, Berrien, Bibb, Bleckley, Brantley, Brooks, Bulloch, Burke, Candler, Charlton, Clarke, Colquitt, Columbia, Dade, Dawson, DeKalb, Decatur, Dodge, Dooly, Elbert, Floyd, Forsyth, Fulton, Gilmer, Glascock, Habersham, Hall, Hancock, Harris, Houston, Lee, Lincoln, Long, Lumpkin, Meriwether, Murray, Muscogee, Oconee, Oglethorpe, Pickens, Screven, Spalding, Sumter, Taylor, Telfair, Tift, Toombs, Turner, Upson, Walker, Walton, Ware, Wayne, Wheeler, White, Wilkinson)"
"Tetragonotheca","nerveray","GA(Bartow, Ben Hill, Chatham, Clarke, Coffee, Crawford, DeKalb, Decatur, Emanuel, Forsyth, Fulton, Grady, Gwinnett, Habersham, Hancock, Haralson, Heard, Lanier, Lee, Lowndes, Meriwether, Muscogee, Oglethorpe, Pike, Stephens, Tattnall, Tift, Walton, Wilcox, Wilkinson)"
"Tetragonotheca helianthoides","pineland nerveray","GA(Bartow, Ben Hill, Chatham, Clarke, Coffee, Crawford, DeKalb, Decatur, Emanuel, Forsyth, Fulton, Grady, Gwinnett, Habersham, Hancock, Haralson, Heard, Lanier, Lee, Lowndes, Meriwether, Muscogee, Oglethorpe, Pike, Stephens, Tattnall, Tift, Walton, Wilcox, Wilkinson)"
"Teucrium","germander","GA(Charlton, Chatham, Cherokee, Emanuel, Glynn, Hall, Liberty, McIntosh, Rabun, Seminole, Stephens)"
"Teucrium canadense","Canada germander","GA(Charlton, Chatham, Cherokee, Emanuel, Glynn, Hall, Liberty, McIntosh, Rabun, Seminole, Stephens)"
"Thalia","alligator-flag","GA(Camden, Chatham, Glynn)"
"Thalia dealbata","powdery alligator-flag","GA(Camden, Chatham, Glynn)"
"Thalia geniculata","bent alligator-flag","GA(Camden)"
