"","",""
"Abies","fir","GA(Fannin)"
"Allium cuthbertii","striped garlic","GA(Candler, Clayton, Columbia, DeKalb, Dodge, Elbert, Glascock, Hancock, Johnson, Lincoln, Oglethorpe, Putnam, Richmond, Rockdale, Taylor, Tift, Turner, Walker, Walton, Washington, Wilkes)"
"Allium speculae","Little River Canyon onion","GA(DeKalb, Rockdale, Walton)"
"Allium tricoccum","ramp","GA(Towns, Union)"
"Allium vineale","wild garlic","GA(Cherokee, Clarke, Elbert, Hall, Harris, Morgan, Randolph, Spalding, Upson, Walker)"
"Allium vineale ssp. vineale","wild garlic","GA(Cherokee, Clarke, Elbert, Hall, Harris, Morgan, Randolph, Spalding, Upson, Walker)"
"Alnus","alder","GA(Ben Hill, Bulloch, Camden, Carroll, Charlton, Chatham, Chattooga, Clarke, Cobb, Cook, Crisp, Dade, DeKalb, Decatur, Echols, Elbert, Floyd, Glascock, Grady, Habersham, Hall, Harris, Henry, Jackson, Jones, Lanier, Long, Madison, Marion, McIntosh, Morgan, Murray, Oglethorpe, Pike, Rabun, Randolph, Spalding, Stephens, Tattnall, Telfair, Thomas, Tift, Troup, Union, Wayne, Whitfield)"
"Alnus serrulata","hazel alder","GA(Ben Hill, Bulloch, Camden, Carroll, Charlton, Chatham, Chattooga, Clarke, Cobb, Cook, Crisp, Dade, DeKalb, Decatur, Echols, Elbert, Floyd, Glascock, Grady, Habersham, Hall, Harris, Henry, Jackson, Jones, Lanier, Long, Madison, Marion, McIntosh, Morgan, Murray, Oglethorpe, Pike, Rabun, Randolph, Spalding, Stephens, Tattnall, Telfair, Thomas, Tift, Troup, Union, Wayne, Whitfield)"
"Alopecurus","foxtail","GA(Bartow, Clarke, Clay, Floyd, Greene, Oglethorpe, Putnam, Seminole, Wilkes)"
"Alopecurus carolinianus","Carolina foxtail","GA(Bartow, Clarke, Clay, Floyd, Greene, Oglethorpe, Putnam, Seminole, Wilkes)"
"Alopecurus pratensis","meadow foxtail","GA(Clarke)"
